2 112 414 387 421
2 319 184 382 203
1 627 796 973 940
2 602 45 763 151
0 441 375 974 545
2 871 952 989 998
1 717 272 850 817
2 475 711 921 882
2 66 191 757 481
0 50 197 733 656
2 83 575 915 728
1 777 812 837 912
1 20 984 571 994
0 446 432 458 648
1 715 871 722 890
2 424 675 740 862
2 580 592 671 900
2 296 687 906 775
